,ID,well,campo,Socio,E_Brent,tipo_costo,P_D,VPN_Basica,VPN_incremental,VPN_Total,capex_T,capex_B,capex_I,opex_B,opex_T,opex_I,volumen_B_LE,volumen_I_LE,volumen_T_LE,LE_year_B,LE_year_T,LE_year_I,lc_B,dc_B,lc_T,dc_T,lc_I,dc_I,EFI_Total,payout_T,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b,fixed_costs,Gross_fluid,productor_well,ingreso,costo_variable,MCM
0,0,NW10NA,CANO_RONDON,con_socio,45,pesimista,0,0,4418.5305,4418.5305,8551.5587,0,8551.5587,0,2450.342,2450.342,0.0,0.2973419809665721,0.2973419809665721,2022.0,2029.0,2029.0,0,0,3.4237,13.2296,3.4258,13.2377,1.3273884553437276,4.0,731.2627900630854,3369.2526090118026,53.776477543940544,8637.486321184932,64.66390577104248,0,1796.1318,654.2102,0,0,0
1,1,NW10NA,CANO_RONDON,con_socio,45,pesimista,0.1,0,4755.4558,4755.4558,7696.4028,0,7696.4028,0,2450.342,2450.342,0.0,0.2973419809665721,0.2973419809665721,2022.0,2029.0,2029.0,0,0,3.4237,11.9066,3.4258,11.9139,1.5859871726041417,4.0,731.2627900630854,3032.3273481106226,53.776477543940544,8637.486321184932,64.66390577104248,0,1796.1318,654.2102,0,0,0
2,2,NW10NA,CANO_RONDON,con_socio,45,pesimista,0.2,0,5092.3811,5092.3811,6841.247,0,6841.247,0,2450.342,2450.342,0.0,0.2973419809665721,0.2973419809665721,2022.0,2029.0,2029.0,0,0,3.4237,10.5837,3.4258,10.5902,1.9092355691796592,4.0,731.2627900630854,2695.4020872094425,53.776477543940544,8637.486321184932,64.66390577104248,0,1796.1318,654.2102,0,0,0
3,3,NW10NA,CANO_RONDON,con_socio,45,pesimista,0.3,0,5429.3063,5429.3063,5986.0911,0,5986.0911,0,2450.342,2450.342,0.0,0.2973419809665721,0.2973419809665721,2022.0,2029.0,2029.0,0,0,3.4237,9.2607,3.4258,9.2664,2.3248406504910393,4.0,731.2627900630854,2358.476826308262,53.776477543940544,8637.486321184932,64.66390577104248,0,1796.1318,654.2102,0,0,0
4,4,NW10NA,CANO_RONDON,con_socio,45,probable,0,0,3695.0557,3695.0557,10387.8227,0,10387.8227,0,2450.342,2450.342,0.0,0.2973419809665721,0.2973419809665721,2022.0,2029.0,2029.0,0,0,3.4237,16.0704,3.4258,16.0802,0.9159740760160988,4.0,731.2627900630854,4092.727413961584,53.776477543940544,8637.486321184932,64.66390577104248,0,1796.1318,654.2102,0,0,0
5,5,NW10NA,CANO_RONDON,con_socio,45,probable,0.1,0,4104.3285,4104.3285,9349.0404,0,9349.0404,0,2450.342,2450.342,0.0,0.2973419809665721,0.2973419809665721,2022.0,2029.0,2029.0,0,0,3.4237,14.4633,3.4258,14.4722,1.1288600844623322,4.0,731.2627900630854,3683.4546725654254,53.776477543940544,8637.486321184932,64.66390577104248,0,1796.1318,654.2102,0,0,0
6,6,NW10NA,CANO_RONDON,con_socio,45,probable,0.2,0,4513.6012,4513.6012,8310.2582,0,8310.2582,0,2450.342,2450.342,0.0,0.2973419809665721,0.2973419809665721,2022.0,2029.0,2029.0,0,0,3.4237,12.8563,3.4258,12.8642,1.3949675950201232,4.0,731.2627900630854,3274.1819311692675,53.776477543940544,8637.486321184932,64.66390577104248,0,1796.1318,654.2102,0,0,0
7,7,NW10NA,CANO_RONDON,con_socio,45,probable,0.3,0,4922.874,4922.874,7271.4759,0,7271.4759,0,2450.342,2450.342,0.0,0.2973419809665721,0.2973419809665721,2022.0,2029.0,2029.0,0,0,3.4237,11.2493,3.4258,11.2562,1.7371058228801415,4.0,731.2627900630854,2864.9091897731087,53.776477543940544,8637.486321184932,64.66390577104248,0,1796.1318,654.2102,0,0,0
8,8,NW10NA,CANO_RONDON,con_socio,45,optimista,0,0,2366.4434,2366.4434,13759.9967,0,13759.9967,0,2450.342,2450.342,0.0,0.2973419809665721,0.2973419809665721,2022.0,2029.0,2029.0,0,0,3.4237,21.2873,3.4258,21.3003,0.44642469326750694,4.0,731.2627900630854,5421.3397087659905,53.776477543940544,8637.486321184932,64.66390577104248,0,1796.1318,654.2102,0,0,0
9,9,NW10NA,CANO_RONDON,con_socio,45,optimista,0.1,0,2908.5774,2908.5774,12383.997,0,12383.997,0,2450.342,2450.342,0.0,0.2973419809665721,0.2973419809665721,2022.0,2029.0,2029.0,0,0,3.4237,19.1585,3.4258,19.1703,0.6071385480750077,4.0,731.2627900630854,4879.2057378893915,53.776477543940544,8637.486321184932,64.66390577104248,0,1796.1318,654.2102,0,0,0
10,10,NW10NA,CANO_RONDON,con_socio,45,optimista,0.2,0,3450.7114,3450.7114,11007.9974,0,11007.9974,0,2450.342,2450.342,0.0,0.2973419809665721,0.2973419809665721,2022.0,2029.0,2029.0,0,0,3.4237,17.0298,3.4258,17.0402,0.8080308665843837,4.0,731.2627900630854,4337.071767012792,53.776477543940544,8637.486321184932,64.66390577104248,0,1796.1318,654.2102,0,0,0
11,11,NW10NA,CANO_RONDON,con_socio,45,optimista,0.3,0,3992.8454,3992.8454,9631.9977,0,9631.9977,0,2450.342,2450.342,0.0,0.2973419809665721,0.2973419809665721,2022.0,2029.0,2029.0,0,0,3.4237,14.9011,3.4258,14.9102,1.066320990382153,4.0,731.2627900630854,3794.9377961361934,53.776477543940544,8637.486321184932,64.66390577104248,0,1796.1318,654.2102,0,0,0
12,12,NW10NA,CANO_RONDON,sin_Socio,45,pesimista,0,0,6003.0944,6003.0944,8551.5587,0,8551.5587,0,2450.342,2450.342,0.0,0.5171164886375168,0.5171164886375168,2022.0,2029.0,2029.0,0,0,3.4237,13.2296,3.4258,13.2377,0.9930031238384781,4.0,1462.5255801261708,6738.505218023605,688.2623512651817,15021.715341191184,129.32781154208496,0,1796.1318,654.2102,0,0,0
13,13,NW10NA,CANO_RONDON,sin_Socio,45,pesimista,0.1,0,6676.9449,6676.9449,7696.4028,0,7696.4028,0,2450.342,2450.342,0.0,0.5171164886375168,0.5171164886375168,2022.0,2029.0,2029.0,0,0,3.4237,11.9066,3.4258,11.9139,1.2144479153760868,4.0,1462.5255801261708,6064.654696221245,688.2623512651817,15021.715341191184,129.32781154208496,0,1796.1318,654.2102,0,0,0
14,14,NW10NA,CANO_RONDON,sin_Socio,45,pesimista,0.2,0,7350.7954,7350.7954,6841.247,0,6841.247,0,2450.342,2450.342,0.0,0.5171164886375168,0.5171164886375168,2022.0,2029.0,2029.0,0,0,3.4237,10.5837,3.4258,10.5902,1.4912539047980973,4.0,1462.5255801261708,5390.804174418885,688.2623512651817,15021.715341191184,129.32781154208496,0,1796.1318,654.2102,0,0,0
15,15,NW10NA,CANO_RONDON,sin_Socio,45,pesimista,0.3,0,8024.6459,8024.6459,5986.0911,0,5986.0911,0,2450.342,2450.342,0.0,0.5171164886375168,0.5171164886375168,2022.0,2029.0,2029.0,0,0,3.4237,9.2607,3.4258,9.2664,1.8471473197692543,4.0,1462.5255801261708,4716.953652616524,688.2623512651817,15021.715341191184,129.32781154208496,0,1796.1318,654.2102,0,0,0
16,16,NW10NA,CANO_RONDON,sin_Socio,45,probable,0,0,4556.1448,4556.1448,10387.8227,0,10387.8227,0,2450.342,2450.342,0.0,0.5171164886375168,0.5171164886375168,2022.0,2029.0,2029.0,0,0,3.4237,16.0704,3.4258,16.0802,0.6406983157135553,4.0,1462.5255801261708,8185.454827923168,688.2623512651817,15021.715341191184,129.32781154208496,0,1796.1318,654.2102,0,0,0
17,17,NW10NA,CANO_RONDON,sin_Socio,45,probable,0.1,0,5374.6903,5374.6903,9349.0404,0,9349.0404,0,2450.342,2450.342,0.0,0.5171164886375168,0.5171164886375168,2022.0,2029.0,2029.0,0,0,3.4237,14.4633,3.4258,14.4722,0.8229981285706169,4.0,1462.5255801261708,7366.909345130851,688.2623512651817,15021.715341191184,129.32781154208496,0,1796.1318,654.2102,0,0,0
18,18,NW10NA,CANO_RONDON,sin_Socio,45,probable,0.2,0,6193.2357,6193.2357,8310.2582,0,8310.2582,0,2450.342,2450.342,0.0,0.5171164886375168,0.5171164886375168,2022.0,2029.0,2029.0,0,0,3.4237,12.8563,3.4258,12.8642,1.0508728946419439,4.0,1462.5255801261708,6548.363862338535,688.2623512651817,15021.715341191184,129.32781154208496,0,1796.1318,654.2102,0,0,0
19,19,NW10NA,CANO_RONDON,sin_Socio,45,probable,0.3,0,7011.7812,7011.7812,7271.4759,0,7271.4759,0,2450.342,2450.342,0.0,0.5171164886375168,0.5171164886375168,2022.0,2029.0,2029.0,0,0,3.4237,11.2493,3.4258,11.2562,1.3438547367336502,4.0,1462.5255801261708,5729.818379546217,688.2623512651817,15021.715341191184,129.32781154208496,0,1796.1318,654.2102,0,0,0
20,20,NW10NA,CANO_RONDON,sin_Socio,45,optimista,0,0,1898.9202,1898.9202,13759.9967,0,13759.9967,0,2450.342,2450.342,0.0,0.5171164886375168,0.5171164886375168,2022.0,2029.0,2029.0,0,0,3.4237,21.2873,3.4258,21.3003,0.23861099571085953,7.0,1462.5255801261708,10842.679417531981,688.2623512651817,15021.715341191184,129.32781154208496,0,1796.1318,654.2102,0,0,0
21,21,NW10NA,CANO_RONDON,sin_Socio,45,optimista,0.1,0,2983.1881,2983.1881,12383.997,0,12383.997,0,2450.342,2450.342,0.0,0.5171164886375168,0.5171164886375168,2022.0,2029.0,2029.0,0,0,3.4237,19.1585,3.4258,19.1703,0.3762344396787328,7.0,1462.5255801261708,9758.411475778783,688.2623512651817,15021.715341191184,129.32781154208496,0,1796.1318,654.2102,0,0,0
22,22,NW10NA,CANO_RONDON,sin_Socio,45,optimista,0.2,0,4067.4561,4067.4561,11007.9974,0,11007.9974,0,2450.342,2450.342,0.0,0.5171164886375168,0.5171164886375168,2022.0,2029.0,2029.0,0,0,3.4237,17.0298,3.4258,17.0402,0.5482637446385745,4.0,1462.5255801261708,8674.143534025585,688.2623512651817,15021.715341191184,129.32781154208496,0,1796.1318,654.2102,0,0,0
23,23,NW10NA,CANO_RONDON,sin_Socio,45,optimista,0.3,0,5151.724,5151.724,9631.9977,0,9631.9977,0,2450.342,2450.342,0.0,0.5171164886375168,0.5171164886375168,2022.0,2029.0,2029.0,0,0,3.4237,14.9011,3.4258,14.9102,0.7694442795869423,4.0,1462.5255801261708,7589.875592272387,688.2623512651817,15021.715341191184,129.32781154208496,0,1796.1318,654.2102,0,0,0
